Hora,P_mec@,n_@
00:00,0.1891,-0.08
00:15,0.192,-0.08
00:30,0.1794,-0.08
00:45,0.1511,-0.08
01:00,0.1628,-0.08
01:15,0.1438,-0.08
01:30,0.1312,-0.08
01:45,0.1383,-0.08
02:00,0.1309,-0.08
02:15,0.1451,-0.08
02:30,0.165,-0.08
02:45,0.1721,-0.08
03:00,0.17,-0.08
03:15,0.1579,-0.08
03:30,0.1474,-0.08
03:45,0.1307,-0.08
04:00,0.1452,-0.08
04:15,0.1328,-0.08
04:30,0.1104,-0.08
04:45,0.1343,-0.08
05:00,0.1474,-0.08
05:15,0.1762,-0.08
05:30,0.1583,-0.08
05:45,0.1747,-0.08
06:00,0.1258,-0.08
06:15,0.1326,-0.08
06:30,0.1422,-0.08
06:45,0.1441,-0.08
07:00,0.1343,-0.08
07:15,0.1336,-0.08
07:30,0.1109,-0.08
07:45,0.1233,-0.08
08:00,0.141,-0.08
08:15,0.1384,-0.08
08:30,0.1422,-0.08
08:45,0.1334,-0.08
09:00,0.1267,-0.08
09:15,0.1002,-0.08
09:30,0.0857,0.1327
09:45,0.0864,0.1304
10:00,0.0815,0.1473
10:15,0.0722,0.1809
10:30,0.055,0.2519
10:45,0.0456,0.2973
11:00,0.0309,0.383
11:15,0.0293,0.3935
11:30,0.0277,0.4049
11:45,0.0279,0.4031
12:00,0.0258,0.4185
12:15,0.021,0.4574
12:30,0.0208,0.4591
12:45,0,0
13:00,0,0
13:15,0,0
13:30,0,0
13:45,0,0
14:00,0,0
14:15,0,0
14:30,0,0
14:45,0.0167,0.4967
15:00,0.0249,0.4259
15:15,0.0206,0.4606
15:30,0.0191,0.4741
15:45,0.0365,0.3478
16:00,0.0351,0.3562
16:15,0.0258,0.4189
16:30,0.0199,0.4666
16:45,0.019,0.4754
17:00,0.0231,0.4397
17:15,0.0234,0.4377
17:30,0.0303,0.3866
17:45,0.0354,0.3541
18:00,0.0476,0.287
18:15,0.058,0.2387
18:30,0.064,0.213
18:45,0.0723,0.1805
19:00,0.0719,0.1821
19:15,0.0936,0.1067
19:30,0.0993,-0.08
19:45,0.1003,-0.08
20:00,0.0916,0.1132
20:15,0.0822,0.1446
20:30,0.1135,-0.08
20:45,0.1369,-0.08
21:00,0.0847,0.1361
21:15,0.0517,0.2673
21:30,0.0395,0.3304
21:45,0.0411,0.3214
22:00,0.073,0.1779
22:15,0.0773,0.1622
22:30,0.0839,0.1389
22:45,0.0786,0.1572
23:00,0.0713,0.1843
23:15,0.1012,-0.08
23:30,0.0548,0.2529
23:45,0.0639,0.2136
