Hora,P_mec@,n_@
00:00,0.4728,-0.08
00:15,0.4799,-0.08
00:30,0.4485,-0.08
00:45,0.3777,-0.08
01:00,0.4069,-0.08
01:15,0.3594,-0.08
01:30,0.3279,-0.08
01:45,0.3458,-0.08
02:00,0.3272,-0.08
02:15,0.3628,-0.08
02:30,0.4126,-0.08
02:45,0.4304,-0.08
03:00,0.4249,-0.08
03:15,0.3948,-0.08
03:30,0.3684,-0.08
03:45,0.3268,-0.08
04:00,0.3631,-0.08
04:15,0.3319,-0.08
04:30,0.276,-0.08
04:45,0.3358,-0.08
05:00,0.3684,-0.08
05:15,0.4406,-0.08
05:30,0.3957,-0.08
05:45,0.4367,-0.08
06:00,0.3146,-0.08
06:15,0.3315,-0.08
06:30,0.3556,-0.08
06:45,0.3602,-0.08
07:00,0.3358,-0.08
07:15,0.3341,-0.08
07:30,0.2773,-0.08
07:45,0.3082,-0.08
08:00,0.3526,-0.08
08:15,0.346,-0.08
08:30,0.3556,-0.08
08:45,0.3336,-0.08
09:00,0.3166,-0.08
09:15,0.2505,-0.08
09:30,0.2143,0.1327
09:45,0.216,0.1304
10:00,0.2037,0.1473
10:15,0.1805,0.1809
10:30,0.1375,0.2519
10:45,0.114,0.2973
11:00,0.0771,0.383
11:15,0.0733,0.3935
11:30,0.0692,0.4049
11:45,0.0698,0.4031
12:00,0.0646,0.4185
12:15,0.0525,0.4574
12:30,0.052,0.4591
12:45,0,0
13:00,0,0
13:15,0,0
13:30,0,0
13:45,0,0
14:00,0,0
14:15,0,0
14:30,0,0
14:45,0.0419,0.4967
15:00,0.0622,0.4259
15:15,0.0516,0.4606
15:30,0.0478,0.4741
15:45,0.0911,0.3478
16:00,0.0876,0.3562
16:15,0.0644,0.4189
16:30,0.0498,0.4666
16:45,0.0474,0.4754
17:00,0.0578,0.4397
17:15,0.0584,0.4377
17:30,0.0758,0.3866
17:45,0.0885,0.3541
18:00,0.1191,0.287
18:15,0.1449,0.2387
18:30,0.1601,0.213
18:45,0.1808,0.1805
19:00,0.1797,0.1821
19:15,0.2341,0.1067
19:30,0.2482,-0.08
19:45,0.2506,-0.08
20:00,0.2291,0.1132
20:15,0.2056,0.1446
20:30,0.2837,-0.08
20:45,0.3423,-0.08
21:00,0.2118,0.1361
21:15,0.1292,0.2673
21:30,0.0986,0.3304
21:45,0.1026,0.3214
22:00,0.1825,0.1779
22:15,0.1932,0.1622
22:30,0.2097,0.1389
22:45,0.1966,0.1572
23:00,0.1783,0.1843
23:15,0.2531,-0.08
23:30,0.137,0.2529
23:45,0.1598,0.2136
